"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-02","51","59","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-03","52","61","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-04","54","70","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-05","57","69","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-06","56","67","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-07","59","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-08","57","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-09","58","73","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-10","58","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-11","58","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-12","54","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-13","55","78","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-14","59","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-15","57","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-16","57","62","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-17","55","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-18","55","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-19","55","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-20","55","63","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-21","54","70","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-22","56","68","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2025-04-23","54","58","51"
